,movie_ids
1720,0095169
1721,1321511
1722,0087727
1723,0455407
1724,1070753
1725,0903657
1726,0104254
1727,0062136
1728,0327137
1729,1454468
1730,1035736
1731,0166396
1732,0074121
1733,0485323
1734,0093223
1735,0106918
1736,0109340
1737,1664894
1738,0078766
1739,0411475
1740,1826590
1741,0120738
1742,0113533
1743,0110443
1744,0110008
1745,0389557
1746,0844286
1747,2267998
1748,1245492
1749,3626804
1750,0100318
1751,0146336
1752,0077914
1753,0219822
1754,0046534
1755,0043379
1756,0178022
1757,0357413
1758,0104257
1759,0387564
1760,0086979
1761,0825232
1762,1014762
1763,0020629
1764,0413015
1765,0118623
1766,0073580
1767,4594834
1768,0124819
1769,0257360
1770,0091557
1771,0460740
1772,0427969
1773,2509850
1774,2345567
1775,0018037
1776,0365265
1777,5776858
1778,0082979
1779,1135503
1780,2166616
1781,1470023
1782,0160298
1783,0116830
1784,0104409
1785,0105402
1786,0050086
1787,0115495
1788,0086960
1789,0056931
1790,0079261
1791,0092076
1792,1606389
1793,1853739
1794,0091374
1795,0293564
1796,0265087
1797,0061184
1798,0458364
1799,1093824
1800,0116931
1801,0107927
1802,0255094
1803,0161292
1804,0762114
1805,0306685
1806,0098519
1807,1397280
1808,0112346
1809,0188913
1810,0143261
1811,0095525
1812,1403865
1813,4481414
1814,0086946
1815,0427229
1816,0089798
1817,0119978
1818,0109838
1819,1318517
1820,0057869
1821,0048028
1822,0080487
1823,0437800
1824,2125666
1825,0113636
1826,0060138
1827,0070511
1828,0090670
1829,3845232
1830,0049363
1831,0089869
1832,1986843
1833,0094910
1834,1606378
1835,5580036
1836,5914996
1837,0783612
1838,0083652
1839,1023490
1840,0084237
1841,2048770
1842,5104604
1843,0113118
1844,0231402
1845,0419724
1846,0479760
1847,2081437
1848,0257568
1849,0103859
1850,0110428
1851,0927619
1852,1611211
1853,0119099
1854,1661199
1855,1588173
1856,0097108
1857,0114702
1858,1130080
1859,0116531
1860,0114307
1861,0120122
1862,0472062
1863,0044876
1864,2234003
1865,4299972
1866,0103923
1867,2737050
1868,0092106
1869,0075936
1870,0141369
1871,0212974
1872,0082031
1873,1951264
1874,0424755
1875,0119033
1876,0104850
1877,1416801
1878,0103594
1879,4537842
1880,0478134
1881,0455824
1882,0074559
1883,0101921
1884,0426578
1885,0280720
1886,0065772
1887,0097937
1888,0091203
1889,0113010
1890,0216651
1891,2194499
1892,0497137
1893,0107566
1894,0120389
1895,0077559
1896,0051201
1897,0105130
1898,0133413
1899,0926129
1900,0039192
1901,0103036
1902,0298482
1903,0113416
1904,0207524
1905,2177771
1906,1229360
1907,2374144
1908,0104237
1909,0098206
1910,2235542
1911,0119815
1912,1152836
1913,0963178
1914,0417001
1915,0037954
1916,0780521
1917,0308488
1918,1844203
1919,0099938
1920,0322725
1921,0242587
1922,3774694
1923,0071772
1924,1155076
1925,0089893
1926,1990314
1927,0144964
1928,0101329
1929,0113114
1930,0120706
1931,0098213
1932,0433383
1933,0120601
1934,0120789
1935,0117104
1936,0255477
1937,0095467
1938,0063665
1939,3567288
1940,0314166
1941,0266543
1942,1682246
1943,0100685
1944,0312318
1945,1966566
1946,0384537
1947,0462244
1948,0379217
1949,0064100
1950,0080365
1951,0071853
1952,0027075
1953,0094663
1954,0393735
1955,0345950
1956,3726704
1957,0433387
1958,0401398
1959,0097116
1960,2717822
1961,0410297
1962,0075703
1963,0116839
1964,0443680
1965,3454574
1966,5893332
1967,0042619
1968,0454921
1969,0243155
1970,0103893
1971,0820096
1972,0032599
1973,1213648
1974,0120642
1975,0120434
1976,0085859
